APT;Additional;Annotator;Difficulty;FailureReasons;FormatCorrect;Group;Index;Kind;Original;Paraphrase;annotation_id;annotator.1;created_at;id;lead_time;type;updated_at
AdditionDeletion;;1;Easy;Identical sentences;Yes;;0;0;They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.;They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.;54;9;22.01.2024 15:58;102;108299;;24.01.2024 12:58
AdditionDeletion;;2;Easy;otherchange;Yes;Morpho- and Lexicon-based Changes;1;3;They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.;They had published an advertisement on the Internet on June 10 (Tuesday), offering the cargo price, he added.;243;14;24.01.2024 10:46;103;179756;"[{""start"":63,""end"":73,""text"":""(Tuesday),"",""labels"":[""APT""]}]";24.01.2024 13:32
Change of order;;9;Hard;;No;;1094;1;Based on experience elsewhere, it could take up to two years before regular elections are held, he added.; Based on experience elsewhere, he added, regular elections could take up to two years before they are held.;599;21;30.01.2024 12:33;201;72329;"[{""start"":32,""end"":41,""text"":""he added,"",""labels"":[""APT""]}]";30.01.2024 12:33
AdditionDeletion;;4;Easy;;Yes;;3;4;They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.;They had published an advertisement on the Internet, offering the cargo for sale, he added.;265;15;24.01.2024 11:48;105;914096;;24.01.2024 12:04
AdditionDeletion;;5;Easy;;Yes;;4;1;They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.; They had published an advertisement on the Internet on June 10, offering the cargo for sale, he additionally added.;169;13;23.01.2024 17:10;106;8,20291E+15;"[{""start"":97,""end"":109,""text"":""additionally"",""labels"":[""APT""]}]";23.01.2024 17:21
AdditionDeletion;;2;Easy;;Yes;;10;0;The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.; The stock rose $2.11, or about 11 percent, to close at $21.51 on the New York Stock Exchange.;244;14;24.01.2024 10:47;107;48351;;24.01.2024 13:32
AdditionDeletion;Morpho- and Lexicon-based Changes;3;Easy;;Yes;;11;3;The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.;The stock rose $2.11, or 11 percent, percent, to close Friday at $21.51 on the NYSE.;437;18;26.01.2024 19:01;108;7,22882E+15;"[{""start"":22,""end"":27,""text"":""or 11"",""labels"":[""APT""]},{""start"":28,""end"":36,""text"":""percent,"",""labels"":[""APT""]}]";26.01.2024 19:01
AdditionDeletion;;4;Easy;Identical sentences;Yes;;12;2;The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.;The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.;266;15;24.01.2024 11:49;109;4,4365E+16;;24.01.2024 12:05
AdditionDeletion;;5;Easy;;Yes;;13;4;The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.;The stock significantly rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.;175;13;23.01.2024 17:13;110;3,6508E+16;"[{""start"":10,""end"":23,""text"":""significantly"",""labels"":[""APT""]}]";23.01.2024 17:22
AdditionDeletion;;6;Easy;;Yes;;14;1;The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.; The stock rose by $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.;73;8;23.01.2024 11:42;111;81516;"[{""start"":16,""end"":18,""text"":""by"",""labels"":[""APT""]}]";23.01.2024 11:42
