;annotator;apt;index;kind;paraphrase-text;original;paraphrase_fixed;paraphrase;applied-correctly;failure_identical;failure_otherchange;failure_nonsense;failure_other;correct_format;hard;add_morph;add_struct;add_semantic;add_others;mistaken_morph;mistaken_struct;mistaken_semantic;mistaken_others;start;end;marked_text;golden_example
0;1;AdditionDeletion;0;0;They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.;They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.;They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.;True;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;;;;False
1;2;AdditionDeletion;1;3;They had published an advertisement on the Internet on June 10 (Tuesday), offering the cargo price, he added.;They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.;They had published an advertisement on the Internet on June 10 (Tuesday), offering the cargo price, he added.;False;False;False;True;False;False;True;False;False;False;False;False;True;False;False;False;63.0;73.0;(Tuesday),;False
2;3;AdditionDeletion;2;2;"Altered: '''They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added an additional detail.''' Justification: The alteration ""addition"" is applied by adding the phrase ""an additional detail"" to the sentence. The meaning of the original sentence is preserved, and nothing except the specified addition was changed.";They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.;They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added an additional detail.;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;;False
3;4;AdditionDeletion;3;4;They had published an advertisement on the Internet, offering the cargo for sale, he added.;They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.;They had published an advertisement on the Internet, offering the cargo for sale, he added.;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;;;;False
4;5;AdditionDeletion;4;1; They had published an advertisement on the Internet on June 10, offering the cargo for sale, he additionally added.;They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.; They had published an advertisement on the Internet on June 10, offering the cargo for sale, he additionally added.;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;97.0;109.0;additionally;False
5;2;AdditionDeletion;10;0; The stock rose $2.11, or about 11 percent, to close at $21.51 on the New York Stock Exchange.;The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.; The stock rose $2.11, or about 11 percent, to close at $21.51 on the New York Stock Exchange.;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;;;;False
6;3;AdditionDeletion;11;3;The stock rose $2.11, or 11 percent, percent, to close Friday at $21.51 on the NYSE.;The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.;The stock rose $2.11, or 11 percent, percent, to close Friday at $21.51 on the NYSE.;True;True;False;False;False;False;True;False;True;False;False;False;False;False;False;False;28.0;36.0;percent,;False
7;4;AdditionDeletion;12;2;The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.;The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.;The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.;True;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;;;;False
8;5;AdditionDeletion;13;4;The stock significantly rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.;The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.;The stock significantly rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;10.0;23.0;significantly;False
9;6;AdditionDeletion;14;1; The stock rose by $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.;The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.; The stock rose by $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;16.0;18.0;by;False
